"name","ADM0_A3","ISO_3_code_i"
"Aruba","ABW",533
"Afghanistan","AFG",4
"Islamic Republic of Afghanistan","AFG",4
"Angola","AGO",24
"Republic of Angola","AGO",24
"Anguilla","AIA",660
"Åland Islands","ALA",248
"Albania","ALB",8
"Republic of Albania","ALB",8
"Andorra","AND",20
"Principality of Andorra","AND",20
"United Arab Emirates","ARE",784
"Argentina","ARG",32
"Argentine Republic","ARG",32
"Armenia","ARM",51
"Republic of Armenia","ARM",51
"American Samoa","ASM",16
"Antarctica","ATA",10
"French Southern Territories","ATF",260
"Antigua and Barbuda","ATG",28
"Australia","AUS",36
"Austria","AUT",40
"Republic of Austria","AUT",40
"Azerbaijan","AZE",31
"Republic of Azerbaijan","AZE",31
"Burundi","BDI",108
"Republic of Burundi","BDI",108
"Belgium","BEL",56
"Kingdom of Belgium","BEL",56
"Benin","BEN",204
"Republic of Benin","BEN",204
"Bonaire, Sint Eustatius and Saba","BES",535
"Burkina Faso","BFA",854
"Bangladesh","BGD",50
"People's Republic of Bangladesh","BGD",50
"Bulgaria","BGR",100
"Republic of Bulgaria","BGR",100
"Bahrain","BHR",48
"Kingdom of Bahrain","BHR",48
"Bahamas","BHS",44
"Commonwealth of the Bahamas","BHS",44
"Bosnia and Herzegovina","BIH",70
"Republic of Bosnia and Herzegovina","BIH",70
"Saint Barthélemy","BLM",652
"Belarus","BLR",112
"Republic of Belarus","BLR",112
"Belize","BLZ",84
"Bermuda","BMU",60
"Bolivia, Plurinational State of","BOL",68
"Bolivia","BOL",68
"Plurinational State of Bolivia","BOL",68
"Brazil","BRA",76
"Federative Republic of Brazil","BRA",76
"Barbados","BRB",52
"Brunei Darussalam","BRN",96
"Bhutan","BTN",64
"Kingdom of Bhutan","BTN",64
"Bouvet Island","BVT",74
"Botswana","BWA",72
"Republic of Botswana","BWA",72
"Central African Republic","CAF",140
"Canada","CAN",124
"Cocos (Keeling) Islands","CCK",166
"Switzerland","CHE",756
"Swiss Confederation","CHE",756
"Chile","CHL",152
"Republic of Chile","CHL",152
"China","CHN",156
"People's Republic of China","CHN",156
"Côte d'Ivoire","CIV",384
"Republic of Côte d'Ivoire","CIV",384
"Cameroon","CMR",120
"Republic of Cameroon","CMR",120
"Congo, The Democratic Republic of the","COD",180
"Congo","COG",178
"Republic of the Congo","COG",178
"Cook Islands","COK",184
"Colombia","COL",170
"Republic of Colombia","COL",170
"Comoros","COM",174
"Union of the Comoros","COM",174
"Cabo Verde","CPV",132
"Republic of Cabo Verde","CPV",132
"Costa Rica","CRI",188
"Republic of Costa Rica","CRI",188
"Cuba","CUB",192
"Republic of Cuba","CUB",192
"Curaçao","CUW",531
"Christmas Island","CXR",162
"Cayman Islands","CYM",136
"Cyprus","CYP",196
"Republic of Cyprus","CYP",196
"Czechia","CZE",203
"Czech Republic","CZE",203
"Germany","DEU",276
"Federal Republic of Germany","DEU",276
"Djibouti","DJI",262
"Republic of Djibouti","DJI",262
"Dominica","DMA",212
"Commonwealth of Dominica","DMA",212
"Denmark","DNK",208
"Kingdom of Denmark","DNK",208
"Dominican Republic","DOM",214
"Algeria","DZA",12
"People's Democratic Republic of Algeria","DZA",12
"Ecuador","ECU",218
"Republic of Ecuador","ECU",218
"Egypt","EGY",818
"Arab Republic of Egypt","EGY",818
"Eritrea","ERI",232
"the State of Eritrea","ERI",232
"Western Sahara","ESH",732
"Spain","ESP",724
"Kingdom of Spain","ESP",724
"Estonia","EST",233
"Republic of Estonia","EST",233
"Ethiopia","ETH",231
"Federal Democratic Republic of Ethiopia","ETH",231
"Finland","FIN",246
"Republic of Finland","FIN",246
"Fiji","FJI",242
"Republic of Fiji","FJI",242
"Falkland Islands (Malvinas)","FLK",238
"France","FRA",250
"French Republic","FRA",250
"Faroe Islands","FRO",234
"Micronesia, Federated States of","FSM",583
"Federated States of Micronesia","FSM",583
"Gabon","GAB",266
"Gabonese Republic","GAB",266
"United Kingdom","GBR",826
"United Kingdom of Great Britain and Northern Ireland","GBR",826
"Georgia","GEO",268
"Guernsey","GGY",831
"Ghana","GHA",288
"Republic of Ghana","GHA",288
"Gibraltar","GIB",292
"Guinea","GIN",324
"Republic of Guinea","GIN",324
"Guadeloupe","GLP",312
"Gambia","GMB",270
"Republic of the Gambia","GMB",270
"Guinea-Bissau","GNB",624
"Republic of Guinea-Bissau","GNB",624
"Equatorial Guinea","GNQ",226
"Republic of Equatorial Guinea","GNQ",226
"Greece","GRC",300
"Hellenic Republic","GRC",300
"Grenada","GRD",308
"Greenland","GRL",304
"Guatemala","GTM",320
"Republic of Guatemala","GTM",320
"French Guiana","GUF",254
"Guam","GUM",316
"Guyana","GUY",328
"Republic of Guyana","GUY",328
"Hong Kong","HKG",344
"Hong Kong Special Administrative Region of China","HKG",344
"Heard Island and McDonald Islands","HMD",334
"Honduras","HND",340
"Republic of Honduras","HND",340
"Croatia","HRV",191
"Republic of Croatia","HRV",191
"Haiti","HTI",332
"Republic of Haiti","HTI",332
"Hungary","HUN",348
"Indonesia","IDN",360
"Republic of Indonesia","IDN",360
"Isle of Man","IMN",833
"India","IND",356
"Republic of India","IND",356
"British Indian Ocean Territory","IOT",86
"Ireland","IRL",372
"Iran, Islamic Republic of","IRN",364
"Islamic Republic of Iran","IRN",364
"Iraq","IRQ",368
"Republic of Iraq","IRQ",368
"Iceland","ISL",352
"Republic of Iceland","ISL",352
"Israel","ISR",376
"State of Israel","ISR",376
"Italy","ITA",380
"Italian Republic","ITA",380
"Jamaica","JAM",388
"Jersey","JEY",832
"Jordan","JOR",400
"Hashemite Kingdom of Jordan","JOR",400
"Japan","JPN",392
"Kazakhstan","KAZ",398
"Republic of Kazakhstan","KAZ",398
"Kenya","KEN",404
"Republic of Kenya","KEN",404
"Kyrgyzstan","KGZ",417
"Kyrgyz Republic","KGZ",417
"Cambodia","KHM",116
"Kingdom of Cambodia","KHM",116
"Kiribati","KIR",296
"Republic of Kiribati","KIR",296
"Saint Kitts and Nevis","KNA",659
"Korea, Republic of","KOR",410
"Kuwait","KWT",414
"State of Kuwait","KWT",414
"Lao People's Democratic Republic","LAO",418
"Lebanon","LBN",422
"Lebanese Republic","LBN",422
"Liberia","LBR",430
"Republic of Liberia","LBR",430
"Libya","LBY",434
"Saint Lucia","LCA",662
"Liechtenstein","LIE",438
"Principality of Liechtenstein","LIE",438
"Sri Lanka","LKA",144
"Democratic Socialist Republic of Sri Lanka","LKA",144
"Lesotho","LSO",426
"Kingdom of Lesotho","LSO",426
"Lithuania","LTU",440
"Republic of Lithuania","LTU",440
"Luxembourg","LUX",442
"Grand Duchy of Luxembourg","LUX",442
"Latvia","LVA",428
"Republic of Latvia","LVA",428
"Macao","MAC",446
"Macao Special Administrative Region of China","MAC",446
"Saint Martin (French part)","MAF",663
"Morocco","MAR",504
"Kingdom of Morocco","MAR",504
"Monaco","MCO",492
"Principality of Monaco","MCO",492
"Moldova, Republic of","MDA",498
"Moldova","MDA",498
"Republic of Moldova","MDA",498
"Madagascar","MDG",450
"Republic of Madagascar","MDG",450
"Maldives","MDV",462
"Republic of Maldives","MDV",462
"Mexico","MEX",484
"United Mexican States","MEX",484
"Marshall Islands","MHL",584
"Republic of the Marshall Islands","MHL",584
"North Macedonia","MKD",807
"Republic of North Macedonia","MKD",807
"Mali","MLI",466
"Republic of Mali","MLI",466
"Malta","MLT",470
"Republic of Malta","MLT",470
"Myanmar","MMR",104
"Republic of Myanmar","MMR",104
"Montenegro","MNE",499
"Mongolia","MNG",496
"Northern Mariana Islands","MNP",580
"Commonwealth of the Northern Mariana Islands","MNP",580
"Mozambique","MOZ",508
"Republic of Mozambique","MOZ",508
"Mauritania","MRT",478
"Islamic Republic of Mauritania","MRT",478
"Montserrat","MSR",500
"Martinique","MTQ",474
"Mauritius","MUS",480
"Republic of Mauritius","MUS",480
"Malawi","MWI",454
"Republic of Malawi","MWI",454
"Malaysia","MYS",458
"Mayotte","MYT",175
"Namibia","NAM",516
"Republic of Namibia","NAM",516
"New Caledonia","NCL",540
"Niger","NER",562
"Republic of the Niger","NER",562
"Norfolk Island","NFK",574
"Nigeria","NGA",566
"Federal Republic of Nigeria","NGA",566
"Nicaragua","NIC",558
"Republic of Nicaragua","NIC",558
"Niue","NIU",570
"Netherlands","NLD",528
"Kingdom of the Netherlands","NLD",528
"Norway","NOR",578
"Kingdom of Norway","NOR",578
"Nepal","NPL",524
"Federal Democratic Republic of Nepal","NPL",524
"Nauru","NRU",520
"Republic of Nauru","NRU",520
"New Zealand","NZL",554
"Oman","OMN",512
"Sultanate of Oman","OMN",512
"Pakistan","PAK",586
"Islamic Republic of Pakistan","PAK",586
"Panama","PAN",591
"Republic of Panama","PAN",591
"Pitcairn","PCN",612
"Peru","PER",604
"Republic of Peru","PER",604
"Philippines","PHL",608
"Republic of the Philippines","PHL",608
"Palau","PLW",585
"Republic of Palau","PLW",585
"Papua New Guinea","PNG",598
"Independent State of Papua New Guinea","PNG",598
"Poland","POL",616
"Republic of Poland","POL",616
"Puerto Rico","PRI",630
"Korea, Democratic People's Republic of","PRK",408
"Democratic People's Republic of Korea","PRK",408
"Portugal","PRT",620
"Portuguese Republic","PRT",620
"Paraguay","PRY",600
"Republic of Paraguay","PRY",600
"Palestine, State of","PSE",275
"the State of Palestine","PSE",275
"French Polynesia","PYF",258
"Qatar","QAT",634
"State of Qatar","QAT",634
"Réunion","REU",638
"Romania","ROU",642
"Russian Federation","RUS",643
"Rwanda","RWA",646
"Rwandese Republic","RWA",646
"Saudi Arabia","SAU",682
"Kingdom of Saudi Arabia","SAU",682
"Sudan","SDN",729
"Republic of the Sudan","SDN",729
"Senegal","SEN",686
"Republic of Senegal","SEN",686
"Singapore","SGP",702
"Republic of Singapore","SGP",702
"South Georgia and the South Sandwich Islands","SGS",239
"Saint Helena, Ascension and Tristan da Cunha","SHN",654
"Svalbard and Jan Mayen","SJM",744
"Solomon Islands","SLB",90
"Sierra Leone","SLE",694
"Republic of Sierra Leone","SLE",694
"El Salvador","SLV",222
"Republic of El Salvador","SLV",222
"San Marino","SMR",674
"Republic of San Marino","SMR",674
"Somalia","SOM",706
"Federal Republic of Somalia","SOM",706
"Saint Pierre and Miquelon","SPM",666
"Serbia","SRB",688
"Republic of Serbia","SRB",688
"South Sudan","SSD",728
"Republic of South Sudan","SSD",728
"Sao Tome and Principe","STP",678
"Democratic Republic of Sao Tome and Principe","STP",678
"Suriname","SUR",740
"Republic of Suriname","SUR",740
"Slovakia","SVK",703
"Slovak Republic","SVK",703
"Slovenia","SVN",705
"Republic of Slovenia","SVN",705
"Sweden","SWE",752
"Kingdom of Sweden","SWE",752
"Eswatini","SWZ",748
"Kingdom of Eswatini","SWZ",748
"Sint Maarten (Dutch part)","SXM",534
"Seychelles","SYC",690
"Republic of Seychelles","SYC",690
"Syrian Arab Republic","SYR",760
"Turks and Caicos Islands","TCA",796
"Chad","TCD",148
"Republic of Chad","TCD",148
"Togo","TGO",768
"Togolese Republic","TGO",768
"Thailand","THA",764
"Kingdom of Thailand","THA",764
"Tajikistan","TJK",762
"Republic of Tajikistan","TJK",762
"Tokelau","TKL",772
"Turkmenistan","TKM",795
"Timor-Leste","TLS",626
"Democratic Republic of Timor-Leste","TLS",626
"Tonga","TON",776
"Kingdom of Tonga","TON",776
"Trinidad and Tobago","TTO",780
"Republic of Trinidad and Tobago","TTO",780
"Tunisia","TUN",788
"Republic of Tunisia","TUN",788
"Turkey","TUR",792
"Republic of Turkey","TUR",792
"Tuvalu","TUV",798
"Taiwan, Province of China","TWN",158
"Taiwan","TWN",158
"Tanzania, United Republic of","TZA",834
"Tanzania","TZA",834
"United Republic of Tanzania","TZA",834
"Uganda","UGA",800
"Republic of Uganda","UGA",800
"Ukraine","UKR",804
"United States Minor Outlying Islands","UMI",581
"Uruguay","URY",858
"Eastern Republic of Uruguay","URY",858
"United States","USA",840
"United States of America","USA",840
"Uzbekistan","UZB",860
"Republic of Uzbekistan","UZB",860
"Holy See (Vatican City State)","VAT",336
"Saint Vincent and the Grenadines","VCT",670
"Venezuela, Bolivarian Republic of","VEN",862
"Venezuela","VEN",862
"Bolivarian Republic of Venezuela","VEN",862
"Virgin Islands, British","VGB",92
"British Virgin Islands","VGB",92
"Virgin Islands, U.S.","VIR",850
"Virgin Islands of the United States","VIR",850
"Viet Nam","VNM",704
"Vietnam","VNM",704
"Socialist Republic of Viet Nam","VNM",704
"Vanuatu","VUT",548
"Republic of Vanuatu","VUT",548
"Wallis and Futuna","WLF",876
"Samoa","WSM",882
"Independent State of Samoa","WSM",882
"Yemen","YEM",887
"Republic of Yemen","YEM",887
"South Africa","ZAF",710
"Republic of South Africa","ZAF",710
"Zambia","ZMB",894
"Republic of Zambia","ZMB",894
"Zimbabwe","ZWE",716
"Republic of Zimbabwe","ZWE",716
"Bolivia (Plurinational State of)","BOL",68
"Congo, Democratic Republic of the","COD",180
"Micronesia (Federated States of)","FSM",583
"Iran (Islamic Republic of)","IRN",364
"Korea (Democratic People's Republic of)","PRK",408
"Holy See","VAT",336
"Venezuela (Bolivarian Republic of)","VEN",862
"Virgin Islands (British)","VGB",92
"Virgin Islands (U.S.)","VIR",850
"Bahamas (the)","BHS",44
"British Indian Ocean Territory (the)","IOT",86
"Cayman Islands (the)","CYM",136
"Central African Republic (the)","CAF",140
"Cocos (Keeling) Islands (the)","CCK",166
"Comoros (the)","COM",174
"Congo (the Democratic Republic of the)","COD",180
"Congo (the)","COG",178
"Cook Islands (the)","COK",184
"Dominican Republic (the)","DOM",214
"Falkland Islands (the) [Malvinas]","FLK",238
"Faroe Islands (the)","FRO",234
"French Southern Territories (the)","ATF",260
"Gambia (the)","GMB",270
"Holy See (the)","VAT",336
"Korea (the Democratic People's Republic of)","PRK",408
"Korea (the Republic of)","KOR",410
"Lao People's Democratic Republic (the)","LAO",418
"Marshall Islands (the)","MHL",584
"Moldova (the Republic of)","MDA",498
"Netherlands (the)","NLD",528
"Niger (the)","NER",562
"Northern Mariana Islands (the)","MNP",580
"Philippines (the)","PHL",608
"Russian Federation (the)","RUS",643
"Sudan (the)","SDN",729
"Taiwan (Province of China)","TWN",158
"Turks and Caicos Islands (the)","TCA",796
"United Arab Emirates (the)","ARE",784
"United Kingdom of Great Britain and Northern Ireland (the)","GBR",826
"United States Minor Outlying Islands (the)","UMI",581
"United States of America (the)","USA",840
"Democratic Republic of the Congo","COD",180
"Saint Helena","SHN",654
"State of Palestine","PSE",275
"China, Hong Kong SAR","HKG",344
"China, Macao SAR","MAC",446
"China, Taiwan Province of China","TWN",158
"Dem. People's Republic of Korea","PRK",408
"Republic of Korea","KOR",410
"United States Virgin Islands","VIR",850
"Micronesia (Fed. States of)","FSM",583
"Wallis and Futuna Islands","WLF",876
"Channel Islands","CHI",830
"Russia","RUS",643
"Congo (Kinshasa)","COG",178
"Korea, South","KOR",410
"Syria","SYR",760
"Congo (Brazzaville)","COD",180
"Burma","MMR",104
"Kosovo","SRB",688
"Brunei","BRN",96
"MS Zaandam","***",-99
"Laos","LAO",418
"Iran","IRN",364
"Cote d'Ivoire","CIV",384
"Taiwan*","TWN",158
"West Bank and Gaza","PSE",275
"Diamond Princess","***",-99
"US","USA",840
"","***",-99
